Handle,Title,Style,Material,Face Shapes,Tags
actress-mode-1980s-sophia-loren-glasses,"""Actress Mode"" 1980s Sophia Loren Glasses",aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
burnt-honey-1980s-diplomat-sunglasses,"""Burnt Honey"" 1980s Diplomat Sunglasses",aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
boxer-briefs-1990s-calvin-klein-sunglasses,"""Boxer Briefs"" 1990s Calvin Klein Sunglasses",aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
honeyline-geometry-1980s-silhouette-eyeglasses,“Honeyline Geometry” 1980s Silhouette Eyeglasses,square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
amber-sculpt-1980s-silhouette-eyeglasses,“Amber Sculpt” 1980s Silhouette Eyeglasses,square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
golden-contour-1970s-christian-dior-eyeglasses,“Golden Contour” 1970s Christian Dior Eyeglasses,square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
verdant-lineage-1990s-eyeglasses,“Verdant Lineage” 1990s  Selima Optique Eyeglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
blue-mirage-1990s-metal-vista-sunglasses,“Blue Mirage” 1990s Metal Vista Sunglasses,round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
gilded-reverie-1990s-mariella-burani-sunglasses,“Gilded Reverie” 1990s Mariella Burani Sunglasses,round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
golden-lineage-1980s-roy-tower-eyeglasses,“Golden Lineage” 1980s Roy Tower Eyeglasses,aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
amber-architect-1980s-anacole-eyeglasses,“Amber Architect” 1980s Anacolé Eyeglasses,rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
golden-reverie-1980s-christian-lacroix-sunglasses,“Golden Reverie” 1980s Christian Lacroix Sunglasses,round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
amber-crest-1980s-martin-eyeglasses,“Amber Crest” 1980s Martin Eyeglasses,square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
starlight-cat-eye-1960s-bedazzled-sunglasses,“Starlight Cat-Eye” 1960s Bedazzled Sunglasses,cat_eye,acetate,"heart, oval, round, square, diamond","style:cat_eye, material:acetate, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx"
pop-masquerade-1960s-urbani-sunglasses,“Pop Masquerade” 1960s Urbani Sunglasses,cat_eye,acetate,"heart, oval, round, square, diamond","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx"
eloquent-1980s-ellen-tracy,"""Eloquent"" 1980s Ellen Tracy Eyeglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
softness-1980s-sro-usa,"""Softness"" 1980s SRO USA Eyeglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
silver-air-1960s-wire-eyeglasses,"""Silver Air"" 1960s Wire Eyeglasses",round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
mahogany-marble-1990s-giorgio-armani-eyeglasses,"""Mahogany Marble"" 1990s Giorgio Armani Eyeglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:custom"
